Script	Type	Name	Version	Binary_path
(all scripts)	R runtime	R	4.3.3	/usr/lib/R/bin
build_mcrA_db_ncbi_annot.R	R package	Biostrings	2.70.3	NA
build_mcrA_db_ncbi_annot.R	R package	dplyr	1.2.1	NA
build_mcrA_db_ncbi_annot.R	R package	httr	1.4.7	NA
build_mcrA_db_ncbi_annot.R	R package	jsonlite	1.8.9	NA
build_mcrA_db_ncbi_annot.R	R package	rentrez	1.2.4	NA
build_mcrA_db_ncbi_annot.R	R package	stringr	1.5.1	NA
build_mcrA_db_ncbi_annot.R	R package	BiocManager	1.30.25	NA
build_mcrA_db.R	R package	Biostrings	2.70.3	NA
build_mcrA_db.R	R package	ape	5.8.1	NA
build_mcrA_db.R	R package	dplyr	1.2.1	NA
build_mcrA_db.R	R package	httr	1.4.7	NA
build_mcrA_db.R	R package	phangorn	2.11.1	NA
build_mcrA_db.R	R package	readr	2.1.5	NA
build_mcrA_db.R	R package	rentrez	1.2.4	NA
build_mcrA_db.R	R package	stringr	1.5.1	NA
build_mcrA_db.R	R package	taxize	0.10.1	NA
build_mcrA_db.R	R package	xml2	1.3.6	NA
build_mcrA_db.R	R package	BiocManager	1.30.25	NA
build_mcrA_db.R	External tool	mafft	v7.505 (2022/Apr/10)	/usr/bin/mafft
validate_mcrA_db.R	R package	Biostrings	2.70.3	NA
validate_mcrA_db.R	R package	DECIPHER	2.30.0	NA
validate_mcrA_db.R	R package	ape	5.8.1	NA
validate_mcrA_db.R	R package	dada2	1.30.0	NA
validate_mcrA_db.R	R package	dplyr	1.2.1	NA
validate_mcrA_db.R	R package	ggplot2	4.0.2	NA
validate_mcrA_db.R	R package	ggrepel	0.9.6	NA
validate_mcrA_db.R	R package	patchwork	1.2.0	NA
validate_mcrA_db.R	R package	scales	1.4.0	NA
validate_mcrA_db.R	R package	stringr	1.5.1	NA
validate_mcrA_db.R	R package	tidyr	1.3.2	NA
validate_mcrA_db.R	R package	BiocManager	1.30.25	NA
validate_mcrA_db.R	External tool	mafft	v7.505 (2022/Apr/10)	/usr/bin/mafft
validate_mcrA_db.R	External tool	FastTree	FastTree 2.2.0 Double precision:	/home/sotosv/anaconda3/bin/FastTree
validate_mcrA_db.R	External tool	RAxML (classic)	This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.	/home/sotosv/anaconda3/bin/raxmlHPC
validate_mcrA_db.R	External tool	epa-ng	EPA-ng v0.3.8	/home/sotosv/anaconda3/bin/epa-ng
validate_mcrA_db.R	External tool	gappa	v0.8.5	/home/sotosv/anaconda3/bin/gappa
calibrate_mcra_thresholds.R	R package	ape	5.8.1	NA
calibrate_mcra_thresholds.R	R package	dplyr	1.2.1	NA
calibrate_mcra_thresholds.R	R package	ggplot2	4.0.2	NA
calibrate_mcra_thresholds.R	R package	gridExtra	2.3	NA
calibrate_mcra_thresholds.R	R package	pROC	1.19.0.1	NA
calibrate_mcra_thresholds.R	R package	phangorn	2.11.1	NA
calibrate_mcra_thresholds.R	R package	tidyr	1.3.2	NA
calibrate_mcra_thresholds.R	External tool	mafft	v7.505 (2022/Apr/10)	/usr/bin/mafft
compare_mcrA_databases2.R	R package	ggplot2	4.0.2	NA
compare_mcrA_databases2.R	R package	ggvenn	0.1.19	NA
compare_mcrA_databases2.R	R package	patchwork	1.2.0	NA
compare_mcrA_databases2.R	R package	pheatmap	1.0.12	NA
compare_mcrA_databases2.R	R package	scales	1.4.0	NA
compare_mcrA_databases2.R	R package	tidyverse	2.0.0	NA
compare_mcrA_databases2.R	R package	vegan	2.6.8	NA
phylo_diversity_comparison.R	R package	ape	5.8.1	NA
phylo_diversity_comparison.R	R package	ggrepel	0.9.6	NA
phylo_diversity_comparison.R	R package	patchwork	1.2.0	NA
phylo_diversity_comparison.R	R package	phangorn	2.11.1	NA
phylo_diversity_comparison.R	R package	picante	1.8.2	NA
phylo_diversity_comparison.R	R package	scales	1.4.0	NA
phylo_diversity_comparison.R	R package	tidyverse	2.0.0	NA
phylo_diversity_comparison.R	R package	Biostrings	2.70.3	NA
phylo_diversity_comparison.R	R package	DECIPHER	2.30.0	NA
phylo_diversity_comparison.R	R package	BiocManager	1.30.25	NA
phylo_diversity_comparison.R	External tool	mafft	v7.505 (2022/Apr/10)	/usr/bin/mafft
